Кто из президентов США написал свой собственный рассказ про Шерлока Холмса?;Джон Кеннеди;Франклин Рузвельт;Рональд Рейган
Какую пошлину ввели в XII  веке в Англии для того чтобы заставить мужчин пойти на войну?;Налог на тунеядство;Налог на трусость;Налог на отсутствие сапог
В каком году Титаник утонул в Атлантическом океане 15 апреля во время своего первого плавания из Саутгемптона?
Российский мультфильм, удостоенный «Оскара», — это…;«Простоквашино»;«Винни-Пух»;«Старик и море»;«Ну, погоди!»
Что в Российской империи было вещевым эквивалентом денег?;Шкуры пушных зверей;Крупный рогатый скот;Табак;Женские серьги
